"ID"	"SCH"
1687	"Trubetskoy_broad_coding"
10690	"Trubetskoy_broad_coding"
9628	"Trubetskoy_broad_coding"
280636	"Trubetskoy_broad_coding"
23478	"Trubetskoy_broad_coding"
27086	"Trubetskoy_broad_coding"
55765	"Trubetskoy_broad_coding"
150368	"Trubetskoy_broad_coding"
80335	"Trubetskoy_broad_coding"
9758	"Trubetskoy_broad_coding"
92521	"Trubetskoy_broad_coding"
55157	"Trubetskoy_broad_coding"
10381	"Trubetskoy_broad_coding"
286749	"Trubetskoy_broad_coding"
3831	"Trubetskoy_broad_coding"
257194	"Trubetskoy_broad_coding"
2272	"Trubetskoy_broad_coding"
54904	"Trubetskoy_broad_coding"
10524	"Trubetskoy_broad_coding"
51390	"Trubetskoy_broad_coding"
55552	"Trubetskoy_broad_coding"
9420	"Trubetskoy_broad_coding"
1014	"Trubetskoy_broad_coding"
150159	"Trubetskoy_broad_coding"
1500	"Trubetskoy_broad_coding"
9682	"Trubetskoy_broad_coding"
9093	"Trubetskoy_broad_coding"
1996	"Trubetskoy_broad_coding"
148113	"Trubetskoy_broad_coding"
56138	"Trubetskoy_broad_coding"
6487	"Trubetskoy_broad_coding"
474170	"Trubetskoy_broad_coding"
132158	"Trubetskoy_broad_coding"
153396	"Trubetskoy_broad_coding"
6137	"Trubetskoy_broad_coding"
51474	"Trubetskoy_broad_coding"
2911	"Trubetskoy_broad_coding"
10902	"Trubetskoy_broad_coding"
196385	"Trubetskoy_broad_coding"
83596	"Trubetskoy_broad_coding"
200186	"Trubetskoy_broad_coding"
56924	"Trubetskoy_broad_coding"
83698	"Trubetskoy_broad_coding"
5078	"Trubetskoy_broad_coding"
5253	"Trubetskoy_broad_coding"
284525	"Trubetskoy_broad_coding"
8382	"Trubetskoy_broad_coding"
1135	"Trubetskoy_broad_coding"
117155	"Trubetskoy_broad_coding"
83943	"Trubetskoy_broad_coding"
9529	"Trubetskoy_broad_coding"
56143	"Trubetskoy_broad_coding"
51780	"Trubetskoy_broad_coding"
119032	"Trubetskoy_broad_coding"
56136	"Trubetskoy_broad_coding"
51252	"Trubetskoy_broad_coding"
2107	"Trubetskoy_broad_coding"
3313	"Trubetskoy_broad_coding"
55626	"Trubetskoy_broad_coding"
2175	"Trubetskoy_broad_coding"
55068	"Trubetskoy_broad_coding"
60412	"Trubetskoy_broad_coding"
2309	"Trubetskoy_broad_coding"
468	"Trubetskoy_broad_coding"
284403	"Trubetskoy_broad_coding"
665	"Trubetskoy_broad_coding"
90952	"Trubetskoy_broad_coding"
161497	"Trubetskoy_broad_coding"
23293	"Trubetskoy_broad_coding"
56145	"Trubetskoy_broad_coding"
282809	"Trubetskoy_broad_coding"
10000	"Trubetskoy_broad_coding"
196074	"Trubetskoy_broad_coding"
29965	"Trubetskoy_broad_coding"
1138	"Trubetskoy_broad_coding"
221078	"Trubetskoy_broad_coding"
100529144	"Trubetskoy_broad_coding"
403	"Trubetskoy_broad_coding"
56142	"Trubetskoy_broad_coding"
29123	"Trubetskoy_broad_coding"
130132	"Trubetskoy_broad_coding"
3661	"Trubetskoy_broad_coding"
112950	"Trubetskoy_broad_coding"
140803	"Trubetskoy_broad_coding"
148327	"Trubetskoy_broad_coding"
81930	"Trubetskoy_broad_coding"
162540	"Trubetskoy_broad_coding"
10120	"Trubetskoy_broad_coding"
56140	"Trubetskoy_broad_coding"
124044	"Trubetskoy_broad_coding"
84513	"Trubetskoy_broad_coding"
6733	"Trubetskoy_broad_coding"
26251	"Trubetskoy_broad_coding"
9776	"Trubetskoy_broad_coding"
23513	"Trubetskoy_broad_coding"
9228	"Trubetskoy_broad_coding"
84334	"Trubetskoy_broad_coding"
4325	"Trubetskoy_broad_coding"
63826	"Trubetskoy_broad_coding"
2016	"Trubetskoy_broad_coding"
3745	"Trubetskoy_broad_coding"
10827	"Trubetskoy_broad_coding"
22827	"Trubetskoy_broad_coding"
118980	"Trubetskoy_broad_coding"
85358	"Trubetskoy_broad_coding"
51307	"Trubetskoy_broad_coding"
1191	"Trubetskoy_broad_coding"
9671	"Trubetskoy_broad_coding"
27132	"Trubetskoy_broad_coding"
779	"Trubetskoy_broad_coding"
7296	"Trubetskoy_broad_coding"
22997	"Trubetskoy_broad_coding"
124540	"Trubetskoy_broad_coding"
2185	"Trubetskoy_broad_coding"
6883	"Trubetskoy_broad_coding"
5789	"Trubetskoy_broad_coding"
54849	"Trubetskoy_broad_coding"
1813	"Trubetskoy_broad_coding"
115708	"Trubetskoy_broad_coding"
64062	"Trubetskoy_broad_coding"
79918	"Trubetskoy_broad_coding"
9842	"Trubetskoy_broad_coding"
4905	"Trubetskoy_broad_coding"
2903	"Trubetskoy_broad_coding"
153527	"Trubetskoy_broad_coding"
57538	"Trubetskoy_broad_coding"
55904	"Trubetskoy_broad_coding"
8120	"Trubetskoy_broad_coding"
6494	"Trubetskoy_broad_coding"
54993	"Trubetskoy_broad_coding"
124446	"Trubetskoy_broad_coding"
9556	"Trubetskoy_broad_coding"
84549	"Trubetskoy_broad_coding"
8379	"Trubetskoy_broad_coding"
9779	"Trubetskoy_broad_coding"
11057	"Trubetskoy_broad_coding"
3336	"Trubetskoy_broad_coding"
84750	"Trubetskoy_broad_coding"
9649	"Trubetskoy_broad_coding"
346007	"Trubetskoy_broad_coding"
7531	"Trubetskoy_broad_coding"
64219	"Trubetskoy_broad_coding"
5740	"Trubetskoy_broad_coding"
84059	"Trubetskoy_broad_coding"
30010	"Trubetskoy_broad_coding"
51075	"Trubetskoy_broad_coding"
5045	"Trubetskoy_broad_coding"
221079	"Trubetskoy_broad_coding"
27257	"Trubetskoy_broad_coding"
3104	"Trubetskoy_broad_coding"
54602	"Trubetskoy_broad_coding"
8452	"Trubetskoy_broad_coding"
64506	"Trubetskoy_broad_coding"
246744	"Trubetskoy_broad_coding"
23019	"Trubetskoy_broad_coding"
6602	"Trubetskoy_broad_coding"
4137	"Trubetskoy_broad_coding"
9568	"Trubetskoy_broad_coding"
84614	"Trubetskoy_broad_coding"
11141	"Trubetskoy_broad_coding"
23683	"Trubetskoy_broad_coding"
493856	"Trubetskoy_broad_coding"
9884	"Trubetskoy_broad_coding"
7075	"Trubetskoy_broad_coding"
64478	"Trubetskoy_broad_coding"
158293	"Trubetskoy_broad_coding"
79007	"Trubetskoy_broad_coding"
203062	"Trubetskoy_broad_coding"
399909	"Trubetskoy_broad_coding"
27253	"Trubetskoy_broad_coding"
4750	"Trubetskoy_broad_coding"
1394	"Trubetskoy_broad_coding"
55568	"Trubetskoy_broad_coding"
23505	"Trubetskoy_broad_coding"
90326	"Trubetskoy_broad_coding"
4695	"Trubetskoy_broad_coding"
2053	"Trubetskoy_broad_coding"
64116	"Trubetskoy_broad_coding"
25843	"Trubetskoy_broad_coding"
79684	"Trubetskoy_broad_coding"
115273	"Trubetskoy_broad_coding"
80212	"Trubetskoy_broad_coding"
27252	"Trubetskoy_broad_coding"
56147	"Trubetskoy_broad_coding"
51308	"Trubetskoy_broad_coding"
6687	"Trubetskoy_broad_coding"
79038	"Trubetskoy_broad_coding"
27173	"Trubetskoy_broad_coding"
25921	"Trubetskoy_broad_coding"
29763	"Trubetskoy_broad_coding"
57795	"Trubetskoy_broad_coding"
375346	"Trubetskoy_broad_coding"
91056	"Trubetskoy_broad_coding"
995	"Trubetskoy_broad_coding"
7071	"Trubetskoy_broad_coding"
79946	"Trubetskoy_broad_coding"
10274	"Trubetskoy_broad_coding"
151313	"Trubetskoy_broad_coding"
6017	"Trubetskoy_broad_coding"
55830	"Trubetskoy_broad_coding"
10336	"Trubetskoy_broad_coding"
9162	"Trubetskoy_broad_coding"
1746	"Trubetskoy_broad_coding"
55215	"Trubetskoy_broad_coding"
54797	"Trubetskoy_broad_coding"
5096	"Trubetskoy_broad_coding"
2823	"Trubetskoy_broad_coding"
26058	"Trubetskoy_broad_coding"
90993	"Trubetskoy_broad_coding"
1983	"Trubetskoy_broad_coding"
55120	"Trubetskoy_broad_coding"
10806	"Trubetskoy_broad_coding"
7323	"Trubetskoy_broad_coding"
23584	"Trubetskoy_broad_coding"
4900	"Trubetskoy_broad_coding"
64897	"Trubetskoy_broad_coding"
5119	"Trubetskoy_broad_coding"
253982	"Trubetskoy_broad_coding"
5792	"Trubetskoy_broad_coding"
64834	"Trubetskoy_broad_coding"
85443	"Trubetskoy_broad_coding"
65009	"Trubetskoy_broad_coding"
339674	"Trubetskoy_broad_coding"
27087	"Trubetskoy_broad_coding"
91582	"Trubetskoy_broad_coding"
79845	"Trubetskoy_broad_coding"
8943	"Trubetskoy_broad_coding"
29789	"Trubetskoy_broad_coding"
64101	"Trubetskoy_broad_coding"
23040	"Trubetskoy_broad_coding"
462	"Trubetskoy_broad_coding"
2913	"Trubetskoy_broad_coding"
60528	"Trubetskoy_broad_coding"
7517	"Trubetskoy_broad_coding"
81603	"Trubetskoy_broad_coding"
1182	"Trubetskoy_broad_coding"
283847	"Trubetskoy_broad_coding"
283899	"Trubetskoy_broad_coding"
10691	"Trubetskoy_broad_coding"
5685	"Trubetskoy_broad_coding"
8558	"Trubetskoy_broad_coding"
23196	"Trubetskoy_broad_coding"
9651	"Trubetskoy_broad_coding"
83857	"Trubetskoy_broad_coding"
374887	"Trubetskoy_broad_coding"
9048	"Trubetskoy_broad_coding"
3344	"Trubetskoy_broad_coding"
4157	"Trubetskoy_broad_coding"
80148	"Trubetskoy_broad_coding"
9442	"Trubetskoy_broad_coding"
91687	"Trubetskoy_broad_coding"
79600	"Trubetskoy_broad_coding"
29960	"Trubetskoy_broad_coding"
27303	"Trubetskoy_broad_coding"
7223	"Trubetskoy_broad_coding"
254531	"Trubetskoy_broad_coding"
56144	"Trubetskoy_broad_coding"
50651	"Trubetskoy_broad_coding"
144348	"Trubetskoy_broad_coding"
605	"Trubetskoy_broad_coding"
51684	"Trubetskoy_broad_coding"
1838	"Trubetskoy_broad_coding"
4126	"Trubetskoy_broad_coding"
54497	"Trubetskoy_broad_coding"
27044	"Trubetskoy_broad_coding"
10100	"Trubetskoy_broad_coding"
57670	"Trubetskoy_broad_coding"
219541	"Trubetskoy_broad_coding"
2676	"Trubetskoy_broad_coding"
3550	"Trubetskoy_broad_coding"
58155	"Trubetskoy_broad_coding"
1806	"Trubetskoy_broad_coding"
644096	"Trubetskoy_broad_coding"
775	"Trubetskoy_broad_coding"
26523	"Trubetskoy_broad_coding"
8911	"Trubetskoy_broad_coding"
79676	"Trubetskoy_broad_coding"
340371	"Trubetskoy_broad_coding"
56137	"Trubetskoy_broad_coding"
392	"Trubetskoy_broad_coding"
4668	"Trubetskoy_broad_coding"
58506	"Trubetskoy_broad_coding"
27319	"Trubetskoy_broad_coding"
22980	"Trubetskoy_broad_coding"
100506084	"Trubetskoy_broad_coding"
4828	"Trubetskoy_broad_coding"
22891	"Trubetskoy_broad_coding"
9344	"Trubetskoy_broad_coding"
4985	"Trubetskoy_broad_coding"
577	"Trubetskoy_broad_coding"
