,infomap,sgG1,sgG2,sgG5,spectral
infomap,,0.22260251790157115,0.4906778098809571,0.561779316519149,0.2874359979458802
sgG1,0.22260251790157115,,0.30606909810414273,0.16757111650083753,0.2293357653566128
sgG2,0.4906778098809571,0.30606909810414273,,0.4113358508348257,0.2634376366487448
sgG5,0.561779316519149,0.16757111650083753,0.4113358508348257,,0.20307092842328084
spectral,0.2874359979458802,0.2293357653566128,0.2634376366487448,0.20307092842328084,
