alg,clNo,clustsize,no.Trubetskoy,Molecular Function,Biological Function,Diseases,False Trub Enrichment
spectral,13,11,3,[],"['activation_of_protein_kinase_C_activity', 'CD40_signaling_pathway', 'RIG-I_signaling_pathway', 'activation_of_phospholipase_C_activity', 'positive_regulation_of_immunoglobulin_pr...', 'regulation_of_mitotic_nuclear_division', 'mitochondrial_electron_transport,_ubiqui...', 'B_cell_activation', 'positive_regulation_of_NIK/NF-kappaB_sig...', 'cellular_respiration', 'positive_regulation_of_exit_from_mitosis', 'mammary_gland_branching_involved_in_thel...', 'regulation_of_branching_involved_in_mamm...', 'regulation_of_cytochrome-c_oxidase_activ...', 'regulation_of_telomerase_activity', 'positive_regulation_of_complement_activa...', 'negative_regulation_of_glucocorticoid_re...', 'regulation_of_dense_core_granule_exocyto...']",[],False
spectral,76,34,4,[],"['armadillo_repeat_domain_binding', 'protein_phosphatase_2A_binding', 'protein_phosphatase_regulator_activity', 'protein_phosphatase_activator_activity']",[],False
spectral,3,1,1,[],"['NAD(P)+_nucleosidase_activity', 'NAD+_nucleotidase,_cyclic_ADP-ribose_gen...']","['autistic_disorder', 'autism_spectrum_disorder', 'intellectual_disability']",False
