"EntrezID_Human"	"go_name"
274	"synaptic vesicle endocytosis (GO:0048488)"
2647	"regulation of synaptic vesicle cycle (GO:0098693)"
26258	"regulation of synaptic vesicle cycle (GO:0098693)"
8927	"regulation of synaptic vesicle cycle (GO:0098693)"
8927	"structural constituent of active zone (GO:0098882)"
8927	"presynaptic active zone cytoplasmic component (GO:0098831)"
8927	"synaptic vesicle clustering (GO:0097091)"
8927	"presynaptic active zone cytoplasmic component (GO:0098831)"
114781	"modulation of chemical synaptic transmission (GO:0050804)"
708	"presynaptic active zone (GO:0048786)"
10882	"regulation of synapse disassembly (GO:1905806)"
10882	"synaptic cleft (GO:0043083)"
165257	"postsynaptic density assembly (GO:0097107)"
165257	"synaptic cleft (GO:0043083)"
165257	"regulation of synapse maturation (GO:0090128)"
165257	"neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)"
389941	"synaptic cleft (GO:0043083)"
389941	"postsynaptic density assembly (GO:0097107)"
389941	"neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)"
9478	"postsynapse to nucleus signaling pathway (GO:0099527)"
9478	"postsynaptic density, intracellular component (GO:0099092)"
9478	"modification of postsynaptic actin cytoskeleton (GO:0098885)"
773	"integral component of presynaptic active zone membrane (GO:0099059)"
773	"voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)"
774	"regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037)"
774	"presynaptic active zone (GO:0048786)"
774	"integral component of presynaptic membrane (GO:0099056)"
774	"voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)"
775	"integral component of postsynaptic membrane (GO:0099055)"
775	"integral component of presynaptic membrane (GO:0099056)"
776	"integral component of presynaptic active zone membrane (GO:0099059)"
776	"voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)"
777	"integral component of postsynaptic membrane (GO:0099055)"
777	"integral component of presynaptic membrane (GO:0099056)"
777	"regulation of synaptic vesicle exocytosis (GO:2000300)"
777	"voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)"
8912	"integral component of presynaptic active zone membrane (GO:0099059)"
8912	"integral component of postsynaptic membrane (GO:0099055)"
781	"anchored component of presynaptic active zone membrane (GO:0099029)"
781	"neuronal dense core vesicle (GO:0098992)"
781	"anchored component of postsynaptic membrane (GO:0099025)"
782	"presynapse (GO:0098793)"
782	"postsynapse (GO:0098794)"
783	"voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)"
785	"presynapse (GO:0098793)"
785	"voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)"
785	"regulation of synaptic vesicle exocytosis (GO:2000300)"
10369	"integral component of postsynaptic density membrane (GO:0099061)"
10369	"postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970)"
10369	"regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)"
10369	"neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)"
10368	"integral component of postsynaptic density membrane (GO:0099061)"
10368	"neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)"
27092	"integral component of postsynaptic density membrane (GO:0099061)"
27092	"regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)"
27091	"regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)"
27091	"integral component of postsynaptic membrane (GO:0099055)"
59284	"integral component of postsynaptic density membrane (GO:0099061)"
59284	"neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)"
59283	"integral component of postsynaptic density membrane (GO:0099061)"
59283	"regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)"
23705	"presynapse assembly (GO:0099054)"
23705	"synapse assembly (GO:0007416)"
23705	"maintenance of postsynaptic specialization structure (GO:0098880)"
23705	"retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942)"
23705	"synapse adhesion between pre- and post-synapse (GO:0099560)"
23705	"integral component of postsynaptic membrane (GO:0099055)"
23705	"integral component of presynaptic membrane (GO:0099056)"
57863	"integral component of presynaptic membrane (GO:0099056)"
8618	"extrinsic component of neuronal dense core vesicle membrane (GO:0098674)"
8618	"presynaptic dense core vesicle exocytosis (GO:0099525)"
8618	"presynapse (GO:0098793)"
8618	"synaptic vesicle priming (GO:0016082)"
93664	"presynapse (GO:0098793)"
93664	"synaptic vesicle priming (GO:0016082)"
793	"calcium ion binding involved in regulation of presynaptic cytosolic calcium levels (GO:0099534)"
793	"presynaptic cytosol (GO:0099523)"
793	"calcium ion binding involved in regulation of postsynaptic cytosolic calcium levels (GO:0099567)"
793	"postsynaptic cytosol (GO:0099524)"
793	"postsynapse (GO:0098794)"
794	"synapse (GO:0045202)"
794	"calcium ion binding involved in regulation of presynaptic cytosolic calcium levels (GO:0099534)"
796	"neuronal dense core vesicle (GO:0098992)"
10203	"neuronal dense core vesicle (GO:0098992)"
800	"postsynapse (GO:0098794)"
50632	"postsynaptic neurotransmitter receptor endocytosis (GO:0098884)"
50632	"presynapse (GO:0098793)"
50632	"postsynaptic endocytic zone (GO:0098843)"
8536	"regulation of synapse organization (GO:0050807)"
8536	"postsynaptic density (GO:0014069)"
815	"regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)"
815	"postsynaptic cytosol (GO:0099524)"
815	"regulation of synaptic vesicle docking (GO:0099148)"
815	"presynaptic cytosol (GO:0099523)"
815	"postsynaptic density (GO:0014069)"
816	"structural constituent of postsynaptic actin cytoskeleton (GO:0098973)"
816	"postsynaptic density (GO:0014069)"
816	"regulation of synapse maturation (GO:0090128)"
814	"postsynapse to nucleus signaling pathway (GO:0099527)"
814	"postsynapse (GO:0098794)"
814	"postsynaptic modulation of chemical synaptic transmission (GO:0099170)"
79012	"modulation of chemical synaptic transmission (GO:0050804)"
79012	"postsynapse (GO:0098794)"
79012	"regulation of modification of postsynaptic structure (GO:0099159)"
821	"integral component of postsynaptic membrane (GO:0099055)"
821	"synaptic vesicle endocytosis (GO:0048488)"
821	"integral component of presynaptic active zone membrane (GO:0099059)"
10486	"presynaptic actin cytoskeleton organization (GO:0099140)"
4076	"postsynapse (GO:0098794)"
4076	"synapse (GO:0045202)"
832	"postsynaptic density (GO:0014069)"
8573	"regulation of synaptic vesicle exocytosis (GO:2000300)"
8573	"presynapse (GO:0098793)"
57524	"presynapse (GO:0098793)"
869	"synaptic cleft (GO:0043083)"
869	"regulation of presynapse assembly (GO:1905606)"
869	"regulation of postsynaptic density assembly (GO:0099151)"
147381	"modulation of chemical synaptic transmission (GO:0050804)"
147381	"regulation of presynapse assembly (GO:1905606)"
885	"synaptic signaling via neuropeptide (GO:0099538)"
23607	"synapse organization (GO:0050808)"
23607	"presynapse (GO:0098793)"
998	"regulation of modification of postsynaptic structure (GO:0099159)"
998	"regulation of postsynapse organization (GO:0099175)"
999	"postsynapse (GO:0098794)"
999	"regulation of protein catabolic process at postsynapse, modulating synaptic transmission (GO:0099576)"
1008	"integral component of presynaptic active zone membrane (GO:0099059)"
1008	"synapse (GO:0045202)"
1008	"synapse adhesion between pre- and post-synapse (GO:0099560)"
1008	"integral component of postsynaptic specialization membrane (GO:0099060)"
1009	"modulation of chemical synaptic transmission (GO:0050804)"
1009	"synapse (GO:0045202)"
1012	"synapse (GO:0045202)"
1000	"modulation of chemical synaptic transmission (GO:0050804)"
1000	"integral component of presynaptic membrane (GO:0099056)"
1000	"integral component of postsynaptic membrane (GO:0099055)"
64072	"synapse (GO:0045202)"
1004	"synapse (GO:0045202)"
1004	"synapse adhesion between pre- and post-synapse (GO:0099560)"
1006	"regulation of synapse organization (GO:0050807)"
1006	"synaptic membrane (GO:0097060)"
1007	"synapse adhesion between pre- and post-synapse (GO:0099560)"
1007	"integral component of postsynaptic membrane (GO:0099055)"
1007	"synapse assembly (GO:0007416)"
1007	"synapse adhesion between pre- and post-synapse (GO:0099560)"
1007	"synapse (GO:0045202)"
1007	"integral component of presynaptic membrane (GO:0099056)"
1020	"regulation of synapse disassembly (GO:1905806)"
1020	"regulation of presynaptic cytosolic calcium levels (GO:0099509)"
1020	"postsynapse (GO:0098794)"
8851	"regulation of synaptic vesicle cycle (GO:0098693)"
8851	"presynapse (GO:0098793)"
6792	"modulation of chemical synaptic transmission (GO:0050804)"
6792	"regulation of postsynapse organization (GO:0099175)"
6792	"postsynaptic density, intracellular component (GO:0099092)"
1072	"modulation of chemical synaptic transmission (GO:0050804)"
1072	"modification of postsynaptic actin cytoskeleton (GO:0098885)"
1108	"regulation of synapse assembly (GO:0051963)"
25978	"regulation of postsynapse organization (GO:0099175)"
25978	"regulation of modification of postsynaptic structure (GO:0099159)"
25978	"modulation of chemical synaptic transmission (GO:0050804)"
25978	"postsynaptic density (GO:0014069)"
100307126	"postsynaptic density (GO:0014069)"
100307126	"regulation of postsynapse organization (GO:0099175)"
1128	"postsynaptic modulation of chemical synaptic transmission (GO:0099170)"
1128	"integral component of presynaptic membrane (GO:0099056)"
1128	"integral component of postsynaptic density membrane (GO:0099061)"
1128	"integral component of postsynaptic membrane (GO:0099055)"
1128	"regulation of postsynaptic membrane potential (GO:0060078)"
1129	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
1129	"integral component of presynaptic membrane (GO:0099056)"
1129	"integral component of presynaptic active zone membrane (GO:0099059)"
1129	"integral component of postsynaptic membrane (GO:0099055)"
1131	"integral component of presynaptic membrane (GO:0099056)"
1131	"integral component of postsynaptic density membrane (GO:0099061)"
1132	"integral component of postsynaptic density membrane (GO:0099061)"
1132	"integral component of presynaptic membrane (GO:0099056)"
1134	"integral component of postsynaptic specialization membrane (GO:0099060)"
1134	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
57053	"integral component of postsynaptic specialization membrane (GO:0099060)"
57053	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
1136	"integral component of postsynaptic specialization membrane (GO:0099060)"
1136	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
1136	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
1137	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
1137	"integral component of postsynaptic specialization membrane (GO:0099060)"
1137	"integral component of presynaptic membrane (GO:0099056)"
1137	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
1138	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
8973	"integral component of presynaptic membrane (GO:0099056)"
8973	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
8973	"integral component of postsynaptic membrane (GO:0099055)"
1139	"integral component of postsynaptic specialization membrane (GO:0099060)"
1139	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
1139	"integral component of presynaptic membrane (GO:0099056)"
1139	"integral component of postsynaptic density membrane (GO:0099061)"
1139	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
1139	"integral component of spine apparatus membrane (GO:0099065)"
1139	"integral component of postsynaptic membrane (GO:0099055)"
55584	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
55584	"integral component of postsynaptic specialization membrane (GO:0099060)"
1140	"integral component of postsynaptic specialization membrane (GO:0099060)"
1140	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
1141	"integral component of presynaptic membrane (GO:0099056)"
1141	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
1141	"integral component of postsynaptic specialization membrane (GO:0099060)"
1141	"integral component of presynaptic membrane (GO:0099056)"
1141	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
1142	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
1143	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)"
1144	"integral component of postsynaptic specialization membrane (GO:0099060)"
