"EntrezID_Human"	"concatenated_values"
4831	111
5290	101
83699	101
27439	101
51056	111
6181	111
6538	111
26355	111
3043	111
55856	101
5694	111
10113	101
2560	101
6050	101
152007	101
9844	111
22849	101
55619	101
1828	111
81631	101
2950	111
794	111
6301	111
29789	111
10397	111
10949	111
5706	111
89941	111
8672	101
6717	111
1977	101
23420	101
23435	111
5709	111
8575	111
3853	111
57617	111
132299	101
64225	111
57665	111
1727	111
11344	101
4711	111
23011	111
10752	111
22954	101
55754	111
6472	101
23339	111
2273	111
3092	101
93974	111
55799	111
85300	111
85397	101
4141	111
114793	111
10901	101
23382	111
108	101
2909	101
51308	111
1965	101
489	111
6647	111
760	111
401190	101
129049	101
6210	101
51466	111
6176	111
4673	101
54536	111
22919	111
29763	101
56850	111
51075	111
5097	111
9296	111
84435	101
2556	111
10527	101
10858	111
55269	101
29796	111
9764	111
9445	101
64744	101
961	111
18	111
23597	111
345651	101
112936	111
5710	111
65263	111
1384	111
1629	101
285513	101
9368	111
56907	111
10236	111
5447	111
23180	101
221424	101
27034	101
5713	111
1176	111
5332	111
8938	111
205	111
4725	111
4008	101
8526	101
343990	101
3858	111
133957	101
10525	111
51138	111
811	111
10452	111
23380	111
1009	101
55704	101
5905	101
2802	101
3745	101
348980	111
7248	111
1641	111
10155	101
63893	111
157922	111
23109	101
54954	101
6311	101
4915	111
9135	101
23317	111
7881	111
22872	111
11171	101
9208	101
5528	111
9826	101
2899	101
3608	101
51479	101
5142	101
7425	111
3836	101
9832	111
54477	101
23646	111
58533	111
6092	111
108489980	111
302	111
9040	101
283209	101
10938	111
2885	111
23325	111
5591	101
55324	101
4916	111
5702	111
23294	101
81832	101
23052	111
3163	111
479	111
6847	101
3009	101
5527	101
7414	111
3852	111
54832	111
83481	101
219771	111
57497	101
30	111
57608	101
10455	111
60682	101
79948	101
64748	101
140730	111
51067	111
392862	111
7874	101
22800	111
7311	111
27101	101
10079	111
80755	101
57464	101
10154	101
225	101
847	101
6138	111
2530	101
23245	111
2239	101
8482	111
5129	111
23266	101
160622	101
7905	111
192683	111
51660	111
8785	101
2876	101
2059	101
537	111
22983	101
4907	101
29091	101
1002	101
10490	111
115703	101
1793	101
6888	111
8776	111
147906	101
2555	111
1982	111
8664	101
10493	111
57553	111
3315	101
85365	111
3751	111
11343	111
9630	101
5136	101
84233	101
29920	111
53916	111
4082	111
26051	101
775	111
34	101
2764	111
7453	101
51673	101
29801	101
57326	101
9559	111
2901	101
9342	111
51102	111
9522	111
80331	111
116442	101
5865	111
928	111
201595	101
1399	111
6154	111
7514	111
8491	111
5717	111
132001	111
57568	101
57580	101
1892	111
10550	111
55610	111
81618	101
2539	111
140679	111
340527	101
6897	111
92609	101
10728	111
2580	111
3709	101
57863	111
213	111
6509	111
84457	111
83856	101
55102	101
253559	111
64756	101
9861	111
NA	110
966	111
6164	111
4900	111
6814	101
7525	111
8027	101
56681	101
26520	111
4660	101
139322	101
11122	111
6229	111
372	101
1155	101
6327	111
10328	101
1665	101
57787	111
64743	101
23171	111
6228	111
10985	101
11022	101
93377	111
11033	111
29968	101
90423	101
351	111
56926	101
1975	101
57003	101
22930	101
2949	101
147179	111
57496	101
6102	101
11221	100
10239	111
10005	101
11100	101
8723	111
2287	111
8243	101
26012	101
80347	101
56894	111
91010	101
10163	101
22920	101
25953	111
347731	101
9804	111
57498	111
5764	111
23078	101
114294	111
55512	111
59353	111
11170	101
256714	111
23786	111
5625	101
6396	101
7171	101
11240	101
284697	111
6772	101
8675	111
2905	101
9158	101
9567	101
55831	111
6238	101
9978	101
5526	111
8650	111
92259	111
408	101
83658	111
253959	111
55333	111
25999	111
130132	111
81892	111
54874	111
51393	101
148252	111
79735	101
5335	101
166785	101
5481	111
26608	101
10952	101
55604	101
22821	111
501	111
5859	111
53358	111
2281	101
5955	111
2987	101
84445	101
79671	111
54499	101
56776	101
10693	111
55201	111
6165	101
64423	111
7314	101
84502	101
22927	101
90957	101
10645	101
3738	111
9276	101
51559	101
29942	101
51234	101
6002	101
1185	111
56945	101
1608	101
84152	111
84443	101
80207	101
9550	111
9897	111
1429	101
55198	101
8453	101
7263	111
5034	111
55738	111
10067	111
1891	111
55739	111
9371	111
5687	111
10856	101
3848	111
3849	111
57118	101
91663	111
55229	101
3035	101
975	111
3029	111
7163	111
3094	111
5704	111
3336	111
8895	111
83858	111
9444	101
23228	111
56993	111
58473	101
9001	100
3748	101
5798	111
3632	111
814	111
439	101
51400	111
284106	101
57537	111
3376	111
1350	111
65059	101
91683	111
51520	101
23385	111
4540	101
51663	111
5116	101
55004	101
91404	111
7158	101
23019	101
375790	101
55184	101
5062	111
56977	101
10972	111
79711	101
4217	111
9581	101
10129	111
9267	101
790	111
8087	101
9748	111
9737	101
9755	101
23215	101
1613	101
57698	101
84959	101
7520	101
8777	111
2475	111
2914	111
7798	101
80232	111
41	101
5830	101
10788	101
9343	101
8030	101
10075	101
283450	111
80164	101
57521	111
11004	110
23271	101
8500	101
1994	101
154796	101
57582	101
27161	101
22982	101
26058	101
7871	111
5537	101
4478	111
51101	101
50804	111
92154	101
1995	101
7109	111
9162	111
79837	101
2060	101
1612	101
2804	101
1993	101
8452	101
8570	101
9852	111
55236	101
221092	101
152330	101
114882	111
NA	111
51637	111
30849	111
3908	101
79834	101
5923	111
10815	111
50808	111
10636	101
729993	101
59	111
90249	101
79085	101
126731	101
83452	111
57716	101
93436	101
27247	101
10463	101
9556	101
23254	101
357	101
4282	111
23732	111
9605	101
51440	111
23	111
9126	111
57495	101
25978	101
79884	101
8834	111
85456	101
23204	111
5654	101
55697	111
23072	101
6329	101
221184	111
81553	111
56895	111
9780	101
9146	101
222950	101
9821	101
57448	111
80142	101
5362	111
26050	101
36	101
6620	111
9545	111
4509	111
4666	101
83473	101
NA	111
54566	101
10189	111
23637	101
201161	101
306	111
10287	101
56924	101
257160	101
23376	101
65078	101
23208	111
3074	111
10456	101
10497	111
5534	111
219287	111
98	111
9255	101
51806	101
23527	101
6227	101
1958	100
80017	101
79643	111
4893	111
51196	101
1200	101
56341	111
23541	111
10994	111
3055	101
54704	111
822	101
1821	110
121512	101
6645	111
6508	101
51534	101
144165	101
9515	111
4694	101
28992	101
55362	111
57222	111
57471	101
8601	101
7818	101
10923	111
51	111
5538	111
118881	111
26958	101
64848	101
249	111
57026	111
27243	101
221981	101
9696	101
10016	101
64219	101
55631	101
642968	101
4218	111
51761	111
23095	111
285368	111
5685	111
7335	111
788	101
54938	101
5493	101
7155	111
55824	111
403	111
55361	111
8533	101
718	111
5565	101
1315	111
84886	101
91978	101
9380	101
5686	111
115817	101
3839	101
8065	111
9320	101
11168	101
2686	111
9738	111
52	111
6285	111
9283	111
2280	111
51337	111
644	101
7991	101
25814	111
92255	111
25830	101
373156	111
2557	101
7295	111
3382	111
9690	101
1004	101
9842	101
5683	111
9497	101
29934	101
4645	111
9758	101
10419	111
57446	111
8773	111
4677	101
5226	111
57622	101
8907	111
5880	101
158471	101
64409	101
57576	101
80279	101
6641	101
114134	111
26507	101
5791	111
4648	111
9532	111
2819	111
25822	101
3014	101
6168	101
2171	111
645	101
5338	101
5364	111
10159	111
386618	101
84059	101
5333	111
9946	101
25940	111
22820	101
8663	101
127829	111
84230	101
51429	101
2495	111
10814	111
80333	111
191	111
5270	101
27339	101
6457	111
8871	101
56255	111
388662	111
29924	111
7018	111
10910	111
57687	111
10424	111
5786	111
2051	101
5711	101
26276	111
107	101
1983	111
5881	111
5289	111
26985	111
3685	111
57552	111
132864	101
1456	111
81567	101
23061	101
79143	111
23071	111
214	111
5719	111
57153	111
5464	111
4345	111
23108	101
6515	111
84932	111
26953	101
23007	101
2597	110
3043	111
125988	101
51090	101
9481	101
5195	101
113026	101
10634	101
55203	111
9373	101
79605	101
84254	101
59338	111
22997	101
3842	101
6747	101
9238	101
23761	101
9961	111
25875	101
100131244	111
80700	101
6923	111
26275	111
1509	111
3757	101
8799	101
145864	100
114789	101
2197	111
1347	111
522	111
400745	101
1645	101
114569	111
143187	111
64599	101
30819	101
5714	111
2110	111
8454	101
9911	111
27255	101
80852	111
5067	101
51645	101
142678	101
26270	101
10654	101
54505	101
780776	100
84305	101
140707	111
3786	101
4731	111
161357	101
2675	111
340120	100
10613	101
3984	101
28316	101
10043	101
9463	111
2038	100
11212	101
6767	111
56666	101
282974	101
216	101
11273	101
10228	111
8761	111
26330	101
2774	111
5828	101
8898	101
6511	111
9652	111
28512	101
3710	111
23344	111
55669	101
9537	101
9053	101
23395	101
54788	101
345778	101
27316	111
22883	101
90678	101
326625	101
4832	101
10105	101
23657	101
90523	101
8659	111
23242	100
26130	101
8266	111
644150	101
8443	101
9987	101
2794	101
151011	111
22	111
5593	111
8913	101
100271715	101
7266	111
8662	101
6734	101
84643	101
54940	111
28976	111
4942	111
57084	111
6428	101
56886	111
6786	111
7458	111
4043	111
7260	101
824	111
93664	111
673	101
5580	111
53918	101
8801	101
157378	111
197322	101
5660	111
10133	101
30000	111
23197	111
56267	111
2730	101
10102	111
23193	111
7919	111
23080	101
5875	111
6921	101
483	111
23446	111
60684	111
307	111
293	111
12	101
2274	101
6990	101
81615	111
1731	111
5066	111
5099	111
3746	111
27344	111
2572	111
3868	111
11198	101
8924	111
23224	101
546	101
57451	101
9667	101
54732	111
2801	111
5903	101
55729	101
9612	101
7267	111
23001	111
139818	111
57578	101
23020	111
7175	101
2803	101
1523	101
9659	111
22994	101
1062	101
1729	101
115098	111
10427	111
6093	101
5585	111
10188	111
8428	111
2079	101
8826	101
6601	101
85369	101
8642	100
55466	111
10297	101
56252	101
5108	101
9628	111
64682	111
57805	101
3609	101
8887	101
3925	111
3276	101
7165	111
51361	101
26057	101
389	111
8359	101
26523	101
55917	110
84726	100
23542	101
10048	111
6009	111
84162	101
255057	111
115	111
5313	101
369	101
54014	101
170961	101
9761	111
254263	101
55691	101
3856	111
85461	101
6683	101
375567	100
161436	101
10092	111
26750	101
201625	101
80222	111
6334	101
121504	101
6738	101
84129	101
117145	111
527	111
57530	101
22906	101
6342	111
10846	111
81831	101
4904	111
1769	101
1376	111
153364	111
8829	101
23336	101
57826	111
10730	101
113510	101
5980	101
79567	111
5430	101
103	101
4624	101
5525	101
326624	111
2900	101
3097	101
5932	101
10178	101
26575	111
4928	101
22995	101
6173	111
26027	111
129807	101
9585	101
23086	101
54861	101
5981	101
284217	101
6263	101
23467	111
55698	101
23024	101
5007	111
1181	101
139065	101
4591	101
92399	101
349667	101
26505	101
51701	101
23047	101
4297	101
402665	111
9644	101
2196	111
79747	101
80005	101
161725	101
2784	111
3024	101
80184	111
338	111
22832	111
670	111
10594	111
53353	101
23107	101
2639	101
5649	101
79568	101
10565	101
64854	101
5684	111
6449	111
23140	111
64753	111
8853	111
84790	111
23129	101
7057	101
8540	101
120114	101
1956	101
4649	111
2558	101
8036	111
9648	111
3556	111
1464	101
54885	101
1984	111
57795	111
23286	101
2768	111
26207	101
9069	101
53822	111
25777	101
5908	111
144402	111
4538	101
4622	101
8632	101
1767	111
27145	111
85459	101
3861	101
4537	101
5317	101
83449	111
339122	101
57477	101
12	101
115948	101
1080	101
339829	101
84433	101
57482	111
221545	111
NA	111
347	101
9853	101
4999	100
23549	111
114928	101
51248	101
29927	101
5224	101
23780	101
23328	101
6687	101
55243	101
54329	100
1603	101
154810	101
9028	101
8407	101
23368	101
10554	111
51116	101
3007	111
284439	111
5232	111
901	100
3339	111
7781	111
1471	111
9185	101
25994	101
51649	101
3704	101
60626	101
6731	101
79026	101
65992	101
5128	111
84836	101
7343	111
9531	101
9392	111
55558	111
51065	101
10953	111
29919	111
55848	111
92675	111
10479	111
8365	101
2021	101
7283	111
137682	101
51412	101
23417	101
4783	100
84864	100
83752	111
1794	111
55054	111
81533	111
10055	101
871	111
23438	101
10804	101
2182	111
89792	101
63929	101
51726	111
55506	101
126129	111
135112	101
11051	101
23111	111
51755	101
54443	101
133746	101
51025	111
7178	111
79885	111
133686	111
54805	101
23281	111
57648	100
6810	101
55364	111
115704	111
5306	111
59284	101
29094	101
10507	101
80055	111
2870	101
23355	101
6745	101
6594	111
27131	111
65108	111
26063	100
394	101
4957	101
23012	101
23263	101
11253	101
10367	101
6727	101
3269	101
23066	101
10247	111
9789	111
5693	111
81889	111
3792	100
8574	111
6867	101
10026	101
55966	101
23301	101
5563	101
60496	101
26036	100
3507	101
64965	101
6182	101
55156	101
178	101
50640	101
57620	101
79861	101
23580	101
9610	101
759	101
51651	101
8546	111
1109	100
2224	111
27	101
8562	101
9183	111
56853	101
23039	101
2170	111
9446	111
57132	101
6284	111
149111	101
8844	101
56948	101
58155	111
1266	111
3991	111
55860	111
7786	101
116984	101
64419	100
6726	101
10250	101
6499	111
146395	101
4291	100
11333	111
5243	101
196403	101
54994	101
3635	101
27349	101
7402	111
5119	111
23113	111
65008	101
151835	111
64978	101
7112	101
4857	101
26229	101
5872	111
2242	101
869	111
55346	101
84867	101
25921	111
5831	101
84630	101
9620	101
55421	101
140576	101
284361	101
2173	111
5163	111
54873	101
23163	101
9625	101
2040	101
90580	111
81846	101
334	111
64110	100
6654	111
56848	111
127281	111
3718	101
143098	101
55561	101
27092	101
219738	111
9031	101
55157	101
9459	101
9049	101
3281	101
51024	111
5610	101
151056	101
6768	100
5367	101
55930	111
10398	101
80219	101
427	111
2780	101
51031	111
