alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
infomap,26,106,80,111,0.0031090672954939,0.0005181778825823,"6616, 8773, 10550, 954, 6804, 10228, 2010, 3163, 112476, 10490, 10313, 6857, 8675, 11230, 55177, 5354, 4000, 22908, 6844, 10423, 112755, 23673, 116841, 10100, 6843, 23786, 63908, 2686, 7187, 56947, 56895, 493856, 219738, 57709, 53826, 157378, 10424, 59353, 51075, 51308, 127833, 1727, 9283, 192683, 11112, 2912, 56894, 9341, 57460, 54332, 7920, 7781, 5007, 9218, 10815, 80331, 6529, 140679, 9554, 134957, 9342, 975, 11343, 80777, 9217, 8417, 7018, 8775, 8760, 9515, 50804, 9854, 9524, 8834, 94097, 950, 91663, 91137, 91683, 81855"
infomap,72,18,14,101,0.0048436005429187,0.0008072667571531,"1642, 10987, 5498, 2873, 6921, 8454, 9040, 8453, 8451, 8452, 9978, 8533, 79699, 8455"
infomap,13,87,47,101,0.0129004943732708,0.0021500823955451,"7916, 9135, 1080, 386618, 60491, 4591, 26003, 56243, 57596, 22978, 5300, 8440, 9513, 51160, 10580, 3636, 84445, 5571, 5562, 5565, 115948, 3281, 8664, 5563, 358, 200081, 2039, 79959, 133746, 23503, 6687, 8030, 115817, 340527, 11178, 23294, 8087, 51101, 257160, 7750, 9612, 9898, 8601, 80028, 8667, 388695, 64599"
infomap,150,12,12,111,0.0130778184422302,0.0021796364070383,"1731, 23157, 5413, 23176, 10801, 346288, 55752, 989, 151011, 55964, 4735, 5414"
infomap,113,10,10,111,0.0363996643374418,0.0060666107229069,"10093, 10094, 6191, 10092, 10097, 10096, 10109, 57180, 81873, 4048"
infomap,190,5,1,1,0.0395777068286094,0.0065962844714349,91833
infomap,111,6,1,1,0.0474696926520755,0.0079116154420125,4069
infomap,47,21,18,111,0.0660739859066606,0.0110123309844434,"65263, 5684, 527, 5682, 5683, 5685, 5687, 5690, 5689, 5691, 5693, 5694, 5695, 5688, 5692, 55364, 8396, 4642"
infomap,115,15,1,11,0.0888143436406941,0.0148023906067823,216
infomap,96,7,6,101,0.0919203075628302,0.0153200512604717,"23368, 140710, 197322, 57530, 114789, 8785"
infomap,31,27,22,111,0.092727760344736,0.0154546267241227,"3146, 2697, 2915, 5582, 5037, 4137, 2596, 5580, 2931, 5581, 4082, 5578, 11033, 2768, 1453, 10672, 8650, 5579, 718, 84446, 9024, 9520"
infomap,28,19,1,11,0.112349230712807,0.0187248717854679,30
infomap,16,16,1,1,0.125959222604926,0.0209932037674877,5243
infomap,5,6,1,110,0.129788576995282,0.0216314294992137,1821
infomap,196,6,1,110,0.129788576995282,0.0216314294992137,5858
infomap,81,18,2,100,0.136860323644166,0.0228100539406944,"1386, 11221"
infomap,105,7,1,110,0.151170141781063,0.0251950236301771,525
infomap,172,2,1,100,0.157602704931914,0.0262671174886524,780776
infomap,124,24,1,1,0.18818987109721,0.0313649785162017,6194
infomap,39,26,15,101,0.220681623641404,0.0367802706069007,"57658, 79735, 55198, 5290, 6224, 25777, 178, 116442, 8411, 22930, 2900, 23074, 23355, 9265, 487"
infomap,87,22,13,101,0.242887438828446,0.0404812398047409,"55638, 29062, 55704, 55636, 23224, 26286, 23328, 3839, 440, 80142, 85459, 57680, 8799"
infomap,23,8,6,101,0.247732099237158,0.041288683206193,"1975, 8237, 1819, 154043, 9775, 343990"
infomap,134,12,8,101,0.275006673069086,0.0458344455115143,"25978, 27183, 57132, 27243, 51534, 9798, 51028, 6683"
infomap,160,6,6,111,0.281234240317627,0.0468723733862712,"4134, 4133, 57787, 8239, 4139, 51144"
infomap,191,6,6,111,0.281234240317627,0.0468723733862712,"444, 133121, 7284, 6594, 55930, 80333"
louvain,6,402,198,101,1.12211937582743e-05,1.87019895971239e-06,"10605, 1981, 3276, 5093, 2547, 3842, 6210, 1642, 1994, 142, 4297, 55729, 1009, 3915, 23420, 394, 9584, 1434, 11051, 11100, 546, 22927, 4841, 10155, 22985, 8894, 4673, 6601, 2873, 4857, 55229, 4869, 26505, 11052, 2130, 158471, 10016, 5725, 3066, 10432, 1155, 7874, 7112, 23090, 54880, 7158, 121504, 1965, 2314, 6597, 6159, 11335, 11127, 8349, 23229, 3069, 2332, 6426, 4691, 4008, 9667, 9958, 58525, 1108, 10250, 11168, 7094, 6733, 6428, 9444, 6434, 51645, 2185, 3185, 8826, 134492, 4204, 2983, 10290, 553115, 79026, 5610, 3608, 64854, 55506, 8341, 8359, 115207, 6418, 103, 55269, 23451, 23417, 6324, 3009, 6147, 6209, 10788, 345651, 3024, 3005, 6741, 51755, 6904, 4926, 8342, 166785, 23047, 7175, 22907, 6329, 6238, 1828, 129684, 22865, 10527, 51673, 50809, 85235, 125113, 5141, 3832, 3609, 1993, 51474, 284217, 55140, 9343, 5430, 9097, 7520, 5116, 6335, 8450, 51479, 57221, 23255, 3948, 23215, 64848, 9733, 57520, 81846, 6599, 6634, 5358, 7411, 24137, 23269, 9320, 8533, 8898, 9774, 6234, 9842, 55324, 752, 25836, 79187, 9208, 8570, 645, 6169, 23367, 9967, 9987, 6334, 80028, 8539, 349667, 84532, 9847, 63875, 91833, 9555, 4076, 83394, 6738, 9031, 79747, 84643, 9651, 64478, 387597, 84364, 5980, 8504, 84896, 3908, 63929, 8632, 90957, 7368, 28316, 9600, 833, 64210, 8562"
louvain,8,267,3,11,0.0040795657105817,0.0006799276184302,"1345, 216, 30"
