alg,cl,Cn,Mu,FL,padj,overlapGenes
fc,10,37,7,DOID:2377,0.0076875646597534,"2891, 2892, 2247, 1509, 116986, 4535, 2913"
fc,10,37,8,DOID:10763,0.0090111189893098,"3039, 2247, 1509, 10135, 4535, 6128, 55349, 2050"
fc,4,1340,100,DOID:3312,0.0167180429622272,"7531, 3688, 9863, 207, 1956, 2561, 7533, 2066, 2934, 57556, 23248, 4915, 1612, 1499, 2903, 2904, 26354, 9759, 5290, 394, 9644, 2534, 2932, 10399, 2901, 1454, 26058, 6531, 202333, 2911, 2915, 2902, 2023, 317, 5590, 5588, 2571, 5908, 3697, 3337, 1000, 3815, 4643, 57030, 10395, 7054, 1786, 5730, 7450, 120892, 1620, 2263, 301, 129285, 23348, 2560, 10075, 2774, 4128, 122402, 54014, 56899, 8650, 55074, 64854, 29843, 5923, 2890, 51592, 2918, 781, 6125, 8340, 4139, 1767, 9472, 6854, 675, 55193, 176, 152330, 2566, 54861, 6233, 6874, 4774, 56926, 116443, 8867, 966, 90134, 3700, 84952, 6451, 57338, 94134, 84250, 79633, 51761, 27255"
fc,27,2,2,DOID:2377,0.0201632371713438,"6717, 25801"
fc,4,1340,81,DOID:1059,0.0238047721636234,"2316, 3146, 3320, 1859, 1741, 9439, 5063, 1499, 4297, 2903, 2904, 11122, 9759, 2273, 546, 23435, 6197, 6195, 5528, 5932, 27316, 50944, 22941, 6531, 2915, 2902, 5527, 5728, 10664, 85358, 5518, 6597, 64219, 3337, 6493, 9456, 171024, 8924, 8888, 4208, 11346, 3054, 2969, 2263, 11253, 814, 178, 23111, 10075, 4128, 4204, 3149, 83604, 3416, 8831, 64324, 10178, 3908, 5144, 3832, 4983, 8239, 79813, 7994, 113246, 8450, 23389, 24137, 9968, 57187, 7991, 9901, 93664, 6611, 11141, 9829, 55515, 124997, 79791, 80208, 51761"
fc,10,37,7,DOID:3312,0.0254192245656666,"25758, 2917, 2247, 1948, 2257, 23426, 2913"
fc,36,2,2,DOID:1826,0.0422976633580679,"1471, 1476"
fc,10,37,5,DOID:12849,0.0426534918868117,"2891, 2917, 1509, 23426, 6323"
fc,10,37,6,DOID:1826,0.0426534918868117,"2891, 2892, 2261, 1509, 4535, 6323"
fc,10,37,5,DOID:0060041,0.0426534918868117,"2891, 2917, 1509, 23426, 6323"
infomap,5,120,32,DOID:10652,4.19270528345067e-06,"7534, 10014, 207, 6198, 7249, 7532, 1432, 5894, 1859, 5058, 22800, 5290, 9588, 5594, 4137, 1386, 8678, 2911, 5728, 8204, 5605, 4155, 5599, 5595, 5604, 5602, 4208, 5629, 8567, 6794, 84630, 9520"
infomap,150,8,6,DOID:10763,1.56377179866244e-05,"2335, 7052, 3075, 6444, 7057, 718"
infomap,43,9,6,DOID:1826,3.63899758237225e-05,"2561, 10564, 2562, 2554, 2555, 2566"
infomap,43,9,5,DOID:12849,6.69602631623629e-05,"2560, 2562, 2554, 2555, 2566"
infomap,43,9,5,DOID:0060041,6.69602631623629e-05,"2560, 2562, 2554, 2555, 2566"
infomap,19,83,26,DOID:5419,0.0006402485467853,"9863, 1742, 1741, 9228, 1739, 2903, 2904, 2905, 2906, 6197, 50944, 9223, 57555, 2902, 85358, 9456, 1128, 1501, 9229, 81832, 2977, 6641, 8831, 3745, 5286, 266727"
infomap,5,120,19,DOID:10763,0.0006559105418292,"207, 7249, 10971, 1432, 3984, 65125, 10987, 5594, 5728, 5599, 5595, 7054, 11346, 2879, 3611, 3305, 54897, 5144, 3324"
infomap,13,41,7,DOID:9255,0.0006806698184948,"5663, 351, 348, 7001, 4846, 10549, 93185"
infomap,5,120,9,DOID:12858,0.0008043236596856,"207, 1432, 4217, 4137, 1386, 5599, 5595, 5602, 6794"
infomap,35,25,8,DOID:10763,0.0009654977930803,"3146, 7074, 5037, 5578, 2768, 10611, 7222, 644"
infomap,43,9,6,DOID:5419,0.0014517984970603,"2561, 2560, 2562, 2554, 2555, 2566"
infomap,150,8,4,DOID:14330,0.0015606761909113,"7052, 12, 3075, 718"
infomap,43,9,4,DOID:3312,0.0032771607163227,"2561, 2560, 2555, 2566"
infomap,19,83,12,DOID:1059,0.0040405038622603,"1741, 2903, 2904, 6197, 50944, 2902, 85358, 9456, 1501, 8831, 3766, 23096"
infomap,90,8,5,DOID:10652,0.0063926202736084,"57787, 2026, 4133, 4139, 9891"
infomap,13,41,7,DOID:2377,0.0073016136900121,"351, 348, 11140, 5864, 2, 4846, 54536"
infomap,5,120,29,DOID:5419,0.0076325664186489,"7534, 7531, 1387, 207, 7529, 7532, 1432, 5058, 9588, 4137, 2033, 8678, 2911, 4155, 5595, 3697, 7054, 4208, 11346, 1610, 5609, 3305, 25830, 63826, 8841, 5144, 54861, 5230, 84952"
infomap,19,83,10,DOID:12849,0.0080294984599882,"2903, 2904, 22871, 2906, 491, 85358, 9456, 8831, 4897, 3766"
infomap,19,83,10,DOID:0060041,0.0080294984599882,"2903, 2904, 22871, 2906, 491, 85358, 9456, 8831, 4897, 3766"
infomap,19,83,12,DOID:1826,0.0080294984599882,"9863, 1740, 3736, 2903, 2904, 3704, 2902, 3737, 10276, 8831, 3745, 3766"
infomap,198,8,4,DOID:1826,0.008502523854847,"6324, 6326, 6335, 6327"
infomap,19,83,12,DOID:3312,0.0085980375219102,"9863, 2903, 2904, 9223, 2902, 1002, 1501, 6641, 5286, 8525, 64072, 266727"
infomap,32,4,3,DOID:1826,0.0095541279842008,"9693, 4509, 3746"
infomap,58,13,4,DOID:12849,0.0112071617584499,"2495, 22978, 2898, 2897"
infomap,58,13,4,DOID:0060041,0.0112071617584499,"2495, 22978, 2898, 2897"
infomap,3,94,12,DOID:14330,0.0130425515469998,"9531, 5708, 3312, 5704, 2580, 22980, 9532, 79705, 4157, 4129, 9829, 57626"
infomap,217,5,3,DOID:1059,0.013228458671361,"51185, 7991, 11141"
infomap,116,9,4,DOID:1826,0.0145914773191013,"5321, 3778, 3779, 785"
infomap,35,25,8,DOID:10652,0.0178603578810713,"3146, 2915, 5037, 2931, 5581, 11033, 8650, 644"
infomap,2,159,20,DOID:3312,0.018367210918834,"1956, 2066, 2934, 57556, 4915, 1499, 9644, 2534, 5588, 2571, 3815, 57030, 56899, 9472, 8867, 966, 90134, 3700, 6451, 94134"
infomap,2,159,19,DOID:10763,0.0224461480665018,"3667, 1956, 2066, 5295, 2934, 10580, 4915, 3643, 1499, 6774, 9644, 3791, 2321, 462, 2242, 1445, 3636, 2185, 5445"
infomap,35,25,9,DOID:5419,0.0230254230773068,"2915, 5582, 5037, 5590, 2596, 5587, 4082, 5578, 10611"
infomap,150,8,4,DOID:10652,0.0237293529739792,"7052, 12, 3075, 718"
infomap,264,5,3,DOID:10763,0.0252227578209932,"488, 54106, 8671"
infomap,73,10,4,DOID:10763,0.0263266132351118,"6275, 6285, 177, 4856"
infomap,68,31,7,DOID:10763,0.0272393238531096,"387, 5879, 396, 389, 6093, 350, 5338"
infomap,2,159,14,DOID:12849,0.0278622137154617,"4915, 10458, 1499, 9644, 5747, 22941, 3791, 2321, 6714, 2571, 56899, 952, 18, 3700"
infomap,2,159,14,DOID:0060041,0.0278622137154617,"4915, 10458, 1499, 9644, 5747, 22941, 3791, 2321, 6714, 2571, 56899, 952, 18, 3700"
infomap,2,159,33,DOID:5419,0.0377257684498442,"1759, 2887, 2885, 6456, 1956, 2066, 55824, 2934, 50618, 57556, 10580, 6457, 58512, 4915, 1499, 5803, 9644, 2534, 4190, 9699, 5588, 114784, 6137, 2571, 2242, 57030, 9826, 2047, 26578, 56899, 9472, 3700, 6451"
infomap,115,7,4,DOID:10652,0.038790339597773,"43, 3915, 3339, 284217"
infomap,226,6,3,DOID:1826,0.0436621187195815,"9353, 10243, 23229"
infomap,87,26,8,DOID:10652,0.0469559824704237,"815, 801, 23237, 8536, 775, 3176, 814, 818"
infomap,34,19,3,DOID:12858,0.0478953986989053,"3064, 28964, 9001"
infomap,232,6,3,DOID:10763,0.0481535697817069,"10135, 4535, 6128"
