,infomap,sgG1,sgG2,sgG5,spectral,wt,louvain
infomap,,0.1381251595089618,0.43154537606964605,0.4294703464952415,0.30545458143448384,0.05852917110824745,0.1825394853541697
sgG1,0.1381251595089618,,0.24807180690998012,0.09044767889287783,0.22397955570231595,0.09561535999882934,0.37113002632167785
sgG2,0.43154537606964605,0.24807180690998012,,0.28978584761457654,0.35822562392420837,0.07014976881786945,0.3070483266665863
sgG5,0.4294703464952415,0.09044767889287783,0.28978584761457654,,0.1862360590073657,0.032565690715697516,0.10994371869204315
spectral,0.30545458143448384,0.22397955570231595,0.35822562392420837,0.1862360590073657,,0.06935386559204132,0.2758985037262286
wt,0.05852917110824745,0.09561535999882934,0.07014976881786945,0.032565690715697516,0.06935386559204132,,0.07811001563157892
louvain,0.1825394853541697,0.37113002632167785,0.3070483266665863,0.10994371869204315,0.2758985037262286,0.07811001563157892,
