,N,mod,C,Cn1,Cn100,mu,"Min. C","1st Qu. C","Median C","Mean C","3rd Qu. C","Max. C"
wt,4843.0,0.28486742165048135,862.0,679.0,7.0,0.4711071744906997,1.0,1.0,1.0,5.6183294663573085,1.0,1737.0
spectral,4843.0,0.37447745992793247,91.0,41.0,18.0,0.5710540301151461,1.0,1.0,2.0,53.21978021978022,70.0,435.0
sgG5,4843.0,0.3408523303424259,119.0,0.0,4.0,0.6427635075287865,4.0,23.0,34.0,40.69747899159664,47.5,220.0
sgG2,4843.0,0.40933964371144493,52.0,0.0,18.0,0.5370416297608502,2.0,8.0,48.5,93.13461538461539,125.0,435.0
sgG1,4843.0,0.41399510356249325,32.0,0.0,9.0,0.42508414526129323,2.0,4.0,8.0,151.34375,112.5,965.0
louvain,4843.0,0.41591168148521823,12.0,0.0,12.0,0.48255093002657223,102.0,310.0,390.5,403.5833333333333,490.0,749.0
lec,4843.0,0.28005100918611575,89.0,34.0,7.0,0.5444109831709477,1.0,1.0,2.0,54.41573033707865,2.0,1429.0
infomap,4843.0,0.3573484430518084,281.0,0.0,8.0,0.6120460584588131,2.0,6.0,9.0,17.234875444839858,13.0,258.0
fc,4843.0,0.3688635077641471,36.0,0.0,5.0,0.3893002657218778,2.0,3.0,4.0,134.52777777777777,35.25,1340.0
