,N,mod,C,Cn1,Cn100,mu,"Min. C","1st Qu. C","Median C","Mean C","3rd Qu. C","Max. C"
infomap,887.0,0.4063165762665913,87.0,0.0,0.0,0.5565976714100905,2.0,4.0,7.0,10.195402298850574,13.0,53.0
sgG1,887.0,0.4655831557966224,24.0,0.0,4.0,0.41720569210866754,2.0,3.0,15.0,36.958333333333336,73.0,126.0
sgG2,887.0,0.43964869278311186,35.0,0.0,0.0,0.518111254851229,3.0,15.5,28.0,25.34285714285714,32.5,59.0
sgG5,887.0,0.38375715864836674,80.0,0.0,0.0,0.5963777490297542,2.0,7.0,10.0,11.0875,14.0,38.0
spectral,887.0,0.3956998321420383,49.0,12.0,0.0,0.5510996119016818,1.0,2.0,16.0,18.102040816326532,23.0,82.0
