,N,mod,C,Cn1,Cn100,mu,"Min. C","1st Qu. C","Median C","Mean C","3rd Qu. C","Max. C"
lec,3026.0,0.2991248073166261,68.0,23.0,7.0,0.5229281767955801,1.0,1.0,2.0,44.5,2.0,743.0
wt,3026.0,0.28673234276273485,602.0,443.0,4.0,0.5417127071823205,1.0,1.0,1.0,5.026578073089701,2.0,671.0
fc,3026.0,0.37896767736409137,19.0,0.0,6.0,0.40904696132596685,2.0,3.0,17.0,159.26315789473685,137.5,776.0
infomap,3026.0,0.36616361441576917,208.0,0.0,5.0,0.6064226519337017,2.0,6.0,8.0,14.548076923076923,12.0,186.0
louvain,3026.0,0.4129543202092427,13.0,0.0,12.0,0.49668508287292823,31.0,190.0,256.0,232.76923076923077,289.0,383.0
sgG1,3026.0,0.42597600805836205,25.0,0.0,10.0,0.4584254143646409,2.0,7.0,54.0,121.04,238.0,453.0
sgG2,3026.0,0.417178528776594,44.0,0.0,15.0,0.5350828729281768,2.0,12.0,57.5,68.77272727272727,109.25,239.0
sgG5,3026.0,0.3481206693934865,115.0,0.0,1.0,0.6374309392265194,3.0,16.0,25.0,26.31304347826087,32.0,111.0
spectral,3026.0,0.36084419164555376,83.0,14.0,9.0,0.601450276243094,1.0,2.0,12.0,36.45783132530121,51.5,224.0
