alg,C,Cn,Crob,CrobScaled
sgG1,1,4,0.1583,0.5938
sgG1,2,3,0.08333,0.3125
sgG1,3,8,0.1375,0.5156
sgG1,4,2,0,0
sgG1,5,6,0.06,0.225
sgG1,6,4,0.2,0.75
sgG1,7,129,0.1399,0.5246
sgG1,8,11,0.1133,0.425
sgG1,9,4,0.04167,0.1562
sgG1,10,431,0.1335,0.5005
sgG1,11,4,0.125,0.4688
sgG1,12,4,0.1528,0.5729
sgG1,13,740,0.1297,0.4865
sgG1,14,5,0.2167,0.8125
sgG1,15,6,0.1733,0.65
sgG1,16,4,0.1389,0.5208
sgG1,17,3,0.1667,0.625
sgG1,18,459,0.1353,0.5075
sgG1,19,4,0.1083,0.4062
sgG1,20,4,0.2667,1
sgG1,21,5,0.1367,0.5125
sgG1,22,5,0.23,0.8625
sgG1,23,931,0.1329,0.4985
sgG1,24,14,0.1234,0.4629
sgG1,25,3,0.08333,0.3125
sgG1,26,9,0.1653,0.6198
sgG1,27,30,0.1354,0.5076
sgG1,28,4,0.2417,0.9062
sgG1,29,4,0.075,0.2812
sgG1,30,130,0.1335,0.5007
sgG1,31,5,0.02,0.075
sgG1,32,18,0.173,0.6487
sgG1,33,3,0.2333,0.875
sgG1,34,861,0.1388,0.5206
sgG1,35,965,0.1312,0.4918
sgG1,36,7,0.127,0.4762
sgG1,37,2,0,0
sgG1,38,3,0.1944,0.7292
sgG1,39,6,0.1111,0.4167
sgG1,40,3,0.1333,0.5
