,infomap,sgG1,sgG2,sgG5,spectral
infomap,,0.1381251595089618,0.43154537606964605,0.4294703464952415,0.30545458143448384
sgG1,0.1381251595089618,,0.24807180690998012,0.09044767889287783,0.22397955570231595
sgG2,0.43154537606964605,0.24807180690998012,,0.28978584761457654,0.35822562392420837
sgG5,0.4294703464952415,0.09044767889287783,0.28978584761457654,,0.1862360590073657
spectral,0.30545458143448384,0.22397955570231595,0.35822562392420837,0.1862360590073657,
