,wt,fc,infomap,louvain,sgG1,sgG2,sgG5,spectral
wt,,0.0908926351073602,0.05852917110824745,0.07811001563157892,0.09561535999882934,0.07014976881786945,0.032565690715697516,0.06935386559204132
fc,0.0908926351073602,,0.09304342056877281,0.23911290742366134,0.3632577962733869,0.14150185015671907,0.05592976111092598,0.14018780582470258
infomap,0.05852917110824745,0.09304342056877281,,0.1825394853541697,0.1381251595089618,0.43154537606964605,0.4294703464952415,0.30545458143448384
louvain,0.07811001563157892,0.23911290742366134,0.1825394853541697,,0.37113002632167785,0.3070483266665863,0.10994371869204315,0.2758985037262286
sgG1,0.09561535999882934,0.3632577962733869,0.1381251595089618,0.37113002632167785,,0.24807180690998012,0.09044767889287783,0.22397955570231595
sgG2,0.07014976881786945,0.14150185015671907,0.43154537606964605,0.3070483266665863,0.24807180690998012,,0.28978584761457654,0.35822562392420837
sgG5,0.032565690715697516,0.05592976111092598,0.4294703464952415,0.10994371869204315,0.09044767889287783,0.28978584761457654,,0.1862360590073657
spectral,0.06935386559204132,0.14018780582470258,0.30545458143448384,0.2758985037262286,0.22397955570231595,0.35822562392420837,0.1862360590073657,
